source_id,dataset_source,label_name,label_id,frame_index,video_person_id,global_person_id,nosex,nosey,midhipx,midhipy,ranklex,rankley,lanklex,lankley,human_center_x,human_center_y,human_bbox_xmin,human_bbox_ymin,human_bbox_xmax,human_bbox_ymax,timestamp_sec,env_objects
URFall_adl-01-cam0_frame000061_person1,URFall,Normal,0,61,1,0,514,53,526,111,528,177,543,172,524,106,506,45,551,185,2.033333333333333,[]
URFall_adl-01-cam0_frame000062_person1,URFall,Normal,0,62,1,0,513,52,523,110,526,175,542,172,522,105,505,44,550,183,2.066666666666667,[]
URFall_adl-01-cam0_frame000063_person1,URFall,Normal,0,63,1,0,511,52,522,109,524,174,538,173,520,105,503,44,546,182,2.1,[]
URFall_adl-01-cam0_frame000064_person1,URFall,Normal,0,64,1,0,509,52,521,109,524,174,534,175,519,105,501,44,542,183,2.1333333333333333,[]
URFall_adl-01-cam0_frame000065_person1,URFall,Normal,0,65,1,0,508,53,521,109,524,174,530,177,518,106,500,45,538,185,2.1666666666666665,[]
URFall_adl-01-cam0_frame000066_person1,URFall,Normal,0,66,1,0,507,55,521,109,522,173,528,178,518,106,499,47,536,186,2.2,[]
URFall_adl-01-cam0_frame000067_person1,URFall,Normal,0,67,1,0,507,57,520,110,522,172,526,178,517,107,499,49,534,186,2.2333333333333334,[]
URFall_adl-01-cam0_frame000068_person1,URFall,Normal,0,68,1,0,506,58,518,110,522,173,524,179,515,108,498,50,532,187,2.2666666666666666,[]
URFall_adl-01-cam0_frame000069_person1,URFall,Normal,0,69,1,0,504,58,516,110,522,175,522,181,514,108,496,50,530,189,2.3,[]
URFall_adl-01-cam0_frame000070_person1,URFall,Normal,0,70,1,0,502,58,515,110,522,177,520,182,512,108,494,50,530,190,2.3333333333333335,[]
URFall_adl-01-cam0_frame000071_person1,URFall,Normal,0,71,1,0,501,58,514,110,522,178,517,183,511,108,493,50,530,191,2.3666666666666667,[]
URFall_adl-01-cam0_frame000072_person1,URFall,Normal,0,72,1,0,500,58,514,110,522,178,515,183,511,108,492,50,530,191,2.4,[]
URFall_adl-01-cam0_frame000073_person1,URFall,Normal,0,73,1,0,499,58,514,110,522,178,514,184,510,109,491,50,530,192,2.433333333333333,[]
URFall_adl-01-cam0_frame000074_person1,URFall,Normal,0,74,1,0,497,57,513,110,522,177,514,186,509,108,489,49,530,194,2.466666666666667,[]
URFall_adl-01-cam0_frame000075_person1,URFall,Normal,0,75,1,0,495,55,511,110,522,175,514,188,508,108,487,47,530,196,2.5,[]
URFall_adl-01-cam0_frame000076_person1,URFall,Normal,0,76,1,0,494,53,509,110,522,173,514,188,506,107,486,45,530,196,2.533333333333333,[]
URFall_adl-01-cam0_frame000077_person1,URFall,Normal,0,77,1,0,493,52,508,110,522,171,515,189,506,107,485,44,530,197,2.566666666666667,[]
URFall_adl-01-cam0_frame000078_person1,URFall,Normal,0,78,1,0,492,52,507,110,522,170,515,188,505,106,484,44,530,196,2.6,[]
URFall_adl-01-cam0_frame000079_person1,URFall,Normal,0,79,1,0,490,52,507,110,521,170,515,187,504,106,482,44,529,195,2.6333333333333333,[]
URFall_adl-01-cam0_frame000080_person1,URFall,Normal,0,80,1,0,488,52,507,110,519,172,515,187,503,106,480,44,527,195,2.6666666666666665,[]
URFall_adl-01-cam0_frame000081_person1,URFall,Normal,0,81,1,0,487,52,508,110,515,174,515,187,503,107,479,44,523,195,2.7,[]
URFall_adl-01-cam0_frame000082_person1,URFall,Normal,0,82,1,0,485,52,506,109,510,177,515,188,501,107,477,44,523,196,2.7333333333333334,[]
URFall_adl-01-cam0_frame000083_person1,URFall,Normal,0,83,1,0,483,52,506,108,505,179,515,188,500,106,475,44,523,196,2.7666666666666666,[]
URFall_adl-01-cam0_frame000084_person1,URFall,Normal,0,84,1,0,481,52,504,108,500,181,515,188,498,106,473,44,523,196,2.8,[]
URFall_adl-01-cam0_frame000085_person1,URFall,Normal,0,85,1,0,480,52,503,109,495,183,515,188,496,107,472,44,523,196,2.8333333333333335,[]
URFall_adl-01-cam0_frame000086_person1,URFall,Normal,0,86,1,0,478,52,502,109,490,184,515,188,495,107,470,44,523,196,2.8666666666666667,[]
URFall_adl-01-cam0_frame000087_person1,URFall,Normal,0,87,1,0,476,53,501,110,485,184,515,188,493,108,468,45,523,196,2.9,[]
URFall_adl-01-cam0_frame000088_person1,URFall,Normal,0,88,1,0,474,55,501,110,482,184,515,188,492,109,466,47,523,196,2.933333333333333,[]
URFall_adl-01-cam0_frame000089_person1,URFall,Normal,0,89,1,0,471,57,501,110,479,184,515,188,491,109,463,49,523,196,2.966666666666667,[]
URFall_adl-01-cam0_frame000090_person1,URFall,Normal,0,90,1,0,469,58,501,110,478,186,515,188,490,110,461,50,523,196,3.0,[]
URFall_adl-01-cam0_frame000091_person1,URFall,Normal,0,91,1,0,466,59,501,110,478,188,515,188,490,110,458,51,523,196,3.033333333333333,[]
URFall_adl-01-cam0_frame000092_person1,URFall,Normal,0,92,1,0,464,61,500,110,479,188,514,188,488,111,456,53,522,196,3.066666666666667,[]
URFall_adl-01-cam0_frame000093_person1,URFall,Normal,0,93,1,0,462,63,498,110,479,189,512,187,487,112,454,55,520,197,3.1,[]
URFall_adl-01-cam0_frame000094_person1,URFall,Normal,0,94,1,0,459,64,495,110,480,189,509,185,484,112,451,56,517,197,3.1333333333333333,[]
URFall_adl-01-cam0_frame000095_person1,URFall,Normal,0,95,1,0,458,66,494,110,480,189,507,184,483,112,450,58,515,197,3.1666666666666665,[]
URFall_adl-01-cam0_frame000096_person1,URFall,Normal,0,96,1,0,458,69,493,110,480,187,503,183,482,113,450,61,511,195,3.2,[]
URFall_adl-01-cam0_frame000097_person1,URFall,Normal,0,97,1,0,457,71,493,110,480,186,497,183,481,113,449,63,505,194,3.2333333333333334,[]
URFall_adl-01-cam0_frame000098_person1,URFall,Normal,0,98,1,0,455,73,494,110,480,184,490,185,480,114,447,65,502,193,3.2666666666666666,[]
URFall_adl-01-cam0_frame000099_person1,URFall,Normal,0,99,1,0,453,75,494,110,479,183,483,187,479,114,445,67,502,195,3.3,[]
URFall_adl-01-cam0_frame000100_person1,URFall,Normal,0,100,1,0,452,77,494,111,478,183,478,188,478,116,444,69,502,196,3.3333333333333335,[]
URFall_adl-01-cam0_frame000101_person1,URFall,Normal,0,101,1,0,450,80,494,112,478,185,473,188,477,117,442,72,502,196,3.3666666666666667,[]
URFall_adl-01-cam0_frame000102_person1,URFall,Normal,0,102,1,0,448,82,493,114,479,187,468,189,476,119,440,74,501,197,3.4,[]
URFall_adl-01-cam0_frame000103_person1,URFall,Normal,0,103,1,0,446,85,491,115,480,188,464,190,474,121,438,77,499,198,3.433333333333333,[]
URFall_adl-01-cam0_frame000104_person1,URFall,Normal,0,104,1,0,445,87,488,117,480,188,462,191,472,122,437,79,496,199,3.466666666666667,[]
URFall_adl-01-cam0_frame000105_person1,URFall,Normal,0,105,1,0,445,90,487,118,480,189,460,193,471,124,437,82,495,201,3.5,[]
URFall_adl-01-cam0_frame000106_person1,URFall,Normal,0,106,1,0,443,93,487,120,480,189,460,194,470,126,435,85,495,202,3.533333333333333,[]
URFall_adl-01-cam0_frame000107_person1,URFall,Normal,0,107,1,0,441,96,486,122,480,188,459,194,469,128,433,88,494,202,3.566666666666667,[]
URFall_adl-01-cam0_frame000108_person1,URFall,Normal,0,108,1,0,439,98,487,124,480,187,458,194,469,130,431,90,495,202,3.6,[]
URFall_adl-01-cam0_frame000109_person1,URFall,Normal,0,109,1,0,438,100,487,126,480,186,458,194,469,131,430,92,495,202,3.6333333333333333,[]
URFall_adl-01-cam0_frame000110_person1,URFall,Normal,0,110,1,0,438,102,487,129,480,184,459,194,469,133,430,94,495,202,3.6666666666666665,[]
URFall_adl-01-cam0_frame000111_person1,URFall,Normal,0,111,1,0,438,103,487,131,480,183,459,193,469,134,430,95,495,201,3.7,[]
URFall_adl-01-cam0_frame000112_person1,URFall,Normal,0,112,1,0,438,106,486,133,480,182,459,193,468,136,430,98,494,201,3.7333333333333334,[]
URFall_adl-01-cam0_frame000113_person1,URFall,Normal,0,113,1,0,438,108,484,134,480,182,459,193,467,137,430,100,492,201,3.7666666666666666,[]
URFall_adl-01-cam0_frame000114_person1,URFall,Normal,0,114,1,0,438,111,481,137,480,182,459,193,466,139,430,103,489,201,3.8,[]
URFall_adl-01-cam0_frame000115_person1,URFall,Normal,0,115,1,0,438,113,480,139,480,183,459,193,465,141,430,105,488,201,3.8333333333333335,[]
URFall_adl-01-cam0_frame000116_person1,URFall,Normal,0,116,1,0,438,116,480,142,479,183,459,193,465,143,430,108,488,201,3.8666666666666667,[]
URFall_adl-01-cam0_frame000117_person1,URFall,Normal,0,117,1,0,438,119,480,145,477,183,459,193,465,146,430,111,488,201,3.9,[]
URFall_adl-01-cam0_frame000118_person1,URFall,Normal,0,118,1,0,439,122,480,148,474,183,459,193,465,148,431,114,488,201,3.933333333333333,[]
URFall_adl-01-cam0_frame000119_person1,URFall,Normal,0,119,1,0,437,124,478,150,473,183,459,193,463,150,429,116,486,201,3.966666666666667,[]
URFall_adl-01-cam0_frame000120_person1,URFall,Normal,0,120,1,0,436,127,477,152,473,182,459,192,462,152,428,119,485,200,4.0,[]
URFall_adl-01-cam0_frame000121_person1,URFall,Normal,0,121,1,0,435,129,474,153,473,180,459,191,461,152,427,121,482,199,4.033333333333333,[]
URFall_adl-01-cam0_frame000122_person1,URFall,Normal,0,122,1,0,434,131,473,154,473,178,459,189,460,153,426,123,481,197,4.066666666666666,[]
URFall_adl-01-cam0_frame000123_person1,URFall,Normal,0,123,1,0,432,133,473,155,473,178,459,188,459,154,424,125,481,196,4.1,[]
URFall_adl-01-cam0_frame000124_person1,URFall,Normal,0,124,1,0,433,135,473,157,473,180,459,188,460,156,425,127,481,196,4.133333333333334,[]
URFall_adl-01-cam0_frame000125_person1,URFall,Normal,0,125,1,0,433,136,473,158,473,181,459,188,460,157,425,128,481,196,4.166666666666667,[]
URFall_adl-01-cam0_frame000126_person1,URFall,Normal,0,126,1,0,435,137,472,159,473,181,459,188,460,158,427,129,481,196,4.2,[]
URFall_adl-01-cam0_frame000127_person1,URFall,Normal,0,127,1,0,434,138,471,160,473,180,459,188,459,158,426,130,481,196,4.233333333333333,[]
URFall_adl-01-cam0_frame000128_person1,URFall,Normal,0,128,1,0,434,139,469,161,473,180,459,188,458,159,426,131,481,196,4.266666666666667,[]
URFall_adl-01-cam0_frame000129_person1,URFall,Normal,0,129,1,0,433,141,470,163,472,179,459,188,458,160,425,133,480,196,4.3,[]
URFall_adl-01-cam0_frame000130_person1,URFall,Normal,0,130,1,0,432,142,469,164,471,179,459,188,457,161,424,134,479,196,4.333333333333333,[]
URFall_adl-01-cam0_frame000131_person1,URFall,Normal,0,131,1,0,431,142,469,164,471,179,459,188,457,161,423,134,479,196,4.366666666666666,[]
URFall_adl-01-cam0_frame000132_person1,URFall,Normal,0,132,1,0,433,142,467,163,471,179,459,188,456,161,425,134,479,196,4.4,[]
URFall_adl-01-cam0_frame000133_person1,URFall,Normal,0,133,1,0,435,142,466,163,471,179,459,188,456,161,427,134,479,196,4.433333333333334,[]
URFall_adl-01-cam0_frame000134_person1,URFall,Normal,0,134,1,0,436,141,466,162,469,180,459,188,457,160,428,133,477,196,4.466666666666667,[]
URFall_adl-01-cam0_frame000135_person1,URFall,Normal,0,135,1,0,435,141,466,162,470,180,459,188,456,160,427,133,478,196,4.5,[]
URFall_adl-01-cam0_frame000136_person1,URFall,Normal,0,136,1,0,433,141,466,162,471,180,459,188,456,160,425,133,479,196,4.533333333333333,[]
URFall_adl-01-cam0_frame000137_person1,URFall,Normal,0,137,1,0,432,141,466,162,472,178,459,188,456,160,424,133,480,196,4.566666666666666,[]
URFall_adl-01-cam0_frame000138_person1,URFall,Normal,0,138,1,0,431,142,466,162,473,178,459,188,456,160,423,134,481,196,4.6,[]
URFall_adl-01-cam0_frame000139_person1,URFall,Normal,0,139,1,0,431,143,466,162,473,177,459,188,456,160,423,135,481,196,4.633333333333334,[]
URFall_adl-01-cam0_frame000140_person1,URFall,Normal,0,140,1,0,431,143,466,162,474,177,459,188,456,160,423,135,482,196,4.666666666666667,[]
URFall_adl-01-cam0_frame000141_person1,URFall,Normal,0,141,1,0,431,143,466,162,474,177,459,188,456,160,423,135,482,196,4.7,[]
URFall_adl-01-cam0_frame000142_person1,URFall,Normal,0,142,1,0,431,144,466,162,474,177,459,188,456,161,423,136,482,196,4.733333333333333,[]
URFall_adl-01-cam0_frame000143_person1,URFall,Normal,0,143,1,0,431,146,466,162,472,178,459,188,455,161,423,138,480,196,4.766666666666667,[]
URFall_adl-01-cam0_frame000144_person1,URFall,Normal,0,144,1,0,431,146,466,163,470,178,459,188,455,162,423,138,478,196,4.8,[]
URFall_adl-01-cam0_frame000145_person1,URFall,Normal,0,145,1,0,432,147,466,164,469,178,459,188,455,163,424,139,477,196,4.833333333333333,[]
URFall_adl-01-cam0_frame000146_person1,URFall,Normal,0,146,1,0,432,147,466,164,470,178,459,188,456,163,424,139,478,196,4.866666666666666,[]
URFall_adl-01-cam0_frame000147_person1,URFall,Normal,0,147,1,0,432,147,466,163,472,178,459,188,456,162,424,139,480,196,4.9,[]
URFall_adl-01-cam0_frame000148_person1,URFall,Normal,0,148,1,0,433,146,466,162,471,179,459,188,456,162,425,138,479,196,4.933333333333334,[]
URFall_adl-01-cam0_frame000149_person1,URFall,Normal,0,149,1,0,435,144,466,162,471,179,459,188,456,161,427,136,479,196,4.966666666666667,[]
URFall_adl-01-cam0_frame000150_person1,URFall,Normal,0,150,1,0,437,143,466,162,470,180,459,188,457,161,429,135,478,196,5.0,[]
