dataset_source,sequence_id,person_id,frame_index,source_fps,label_name,pose_center_weight,human_center_x,human_center_y,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,source_file
URFall,URFall_adl-01-cam0,person_1,58,30.0,Normal,1.0,526.4695,109.7805,507.31,52.255,557.925,183.42,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,59,30.0,Normal,1.0,526.1405,108.999,507.44,51.89,556.865,183.315,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,60,30.0,Normal,1.0,525.33704,107.746994,506.45,51.84,554.585,183.18,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,61,30.0,Normal,1.0,524.122,106.1675,504.475,51.84,550.435,183.055,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,62,30.0,Normal,1.0,522.1655,105.258,502.09,51.855,549.825,182.96,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,63,30.0,Normal,1.0,520.4875,104.9805,500.885,51.89,548.48,182.9,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,64,30.0,Normal,1.0,519.0345,105.065506,500.425,51.085,546.365,182.865,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,65,30.0,Normal,1.0,518.27454,105.62301,500.375,49.635,543.885,182.85,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,66,30.0,Normal,1.0,517.915,106.208496,500.375,47.875,542.625,183.02,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,67,30.0,Normal,1.0,517.0805,106.85551,499.35,46.995,542.14,184.395,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,68,30.0,Normal,1.0,515.53204,107.4035,497.41,46.67,540.74,186.02,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,69,30.0,Normal,1.0,513.57,107.868004,495.065,46.64,538.77,187.785,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,70,30.0,Normal,1.0,512.0785,108.2755,493.895,46.745,536.49,188.59,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,71,30.0,Normal,1.0,511.30502,108.440506,493.46,46.885,535.405,188.825,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,72,30.0,Normal,1.0,510.94397,108.4725,493.42,47.01,535.275,188.89,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,73,30.0,Normal,1.0,510.517,108.5435,492.215,47.105,534.12,189.615,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,74,30.0,Normal,1.0,509.334,108.24799,490.29,47.165,532.185,191.015,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,75,30.0,Normal,1.0,507.6945,107.750496,487.975,47.2,529.845,192.725,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,76,30.0,Normal,1.0,506.2195,107.0635,488.185,47.215,528.95,193.56,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,77,30.0,Normal,1.0,505.5485,106.594,489.855,47.22,528.96,193.86,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,78,30.0,Normal,1.0,504.9535,106.2805,491.995,47.22,528.965,193.87,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,79,30.0,Normal,1.0,504.23196,106.16051,489.905,47.22,527.62,193.755,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,80,30.0,Normal,1.0,503.41852,106.3475,487.6,46.21,525.505,193.615,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,81,30.0,Normal,1.0,502.80847,106.69701,486.545,45.635,520.34,193.49,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,82,30.0,Normal,1.0,501.2465,106.511505,484.895,44.355,517.695,193.395,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,83,30.0,Normal,1.0,499.79398,106.4975,482.86,43.685,515.25,193.335,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,84,30.0,Normal,1.0,497.78403,106.595505,480.605,42.41,515.07,193.305,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,85,30.0,Normal,1.0,496.5405,107.26,478.255,42.795,515.065,193.29,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,86,30.0,Normal,1.0,494.7135,107.6375,474.05,44.15,515.055,193.455,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,87,30.0,Normal,1.0,493.20398,108.117004,469.915,46.0,515.05,193.82,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,88,30.0,Normal,1.0,492.0375,108.65101,467.045,47.025,515.045,193.87,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,89,30.0,Normal,1.0,491.064,109.3065,464.83,47.5,515.04,193.77,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,90,30.0,Normal,1.0,490.31702,109.7155,464.2,47.635,515.04,193.63,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,91,30.0,Normal,1.0,489.6755,110.278,464.34,48.61,515.04,193.295,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,92,30.0,Normal,1.0,488.266,110.831,464.095,50.095,515.04,193.295,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,93,30.0,Normal,1.0,486.391,111.27049,461.74,52.85,515.04,193.295,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,94,30.0,Normal,1.0,484.27853,111.64451,459.4,55.29,513.695,193.295,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,95,30.0,Normal,1.0,483.14304,111.988,458.41,57.455,511.58,193.295,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,96,30.0,Normal,1.0,482.47003,112.61951,456.85,59.41,506.425,193.295,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,97,30.0,Normal,1.0,481.4985,113.217995,454.895,61.235,500.96,193.295,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,98,30.0,Normal,1.0,480.315,113.791,452.69,63.99,499.645,193.295,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,99,30.0,Normal,1.0,478.99753,114.43851,451.705,66.29,498.965,193.295,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,100,30.0,Normal,1.0,478.14453,115.6325,450.1,68.275,497.305,193.295,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,101,30.0,Normal,1.0,477.168,117.434006,448.08,70.08,496.435,193.65,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,102,30.0,Normal,1.0,475.564,119.248,445.835,71.79,494.745,194.08,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,103,30.0,Normal,1.0,473.46,120.81751,444.81,74.475,493.915,194.1,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,104,30.0,Normal,1.0,471.771,122.41051,443.17,76.725,493.615,193.945,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,105,30.0,Normal,1.0,470.90448,124.306,441.13,79.35,492.26,194.3,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,106,30.0,Normal,1.0,470.24503,125.96901,438.86,80.55,490.26,195.875,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,107,30.0,Normal,1.0,469.531,127.78151,437.83,83.005,487.92,197.73,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,108,30.0,Normal,1.0,468.88452,129.2765,437.53,85.84,486.785,198.67,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,109,30.0,Normal,1.0,468.6575,131.081,437.605,87.52,486.755,199.03,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,110,30.0,Normal,1.0,468.65698,132.57101,436.48,90.17,486.925,199.075,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,111,30.0,Normal,1.0,468.7495,133.972,434.605,92.395,487.05,198.98,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,112,30.0,Normal,1.0,468.19598,135.638,432.325,95.325,486.76,198.84,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,113,30.0,Normal,1.0,467.243,137.166,431.205,97.59,486.935,198.71,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,114,30.0,Normal,1.0,466.0815,139.4105,430.805,99.61,485.725,198.615,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,115,30.0,Normal,1.0,465.49847,141.2645,430.785,101.265,483.705,198.55,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,116,30.0,Normal,1.0,465.1505,143.6575,430.94,103.945,481.28,198.515,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,117,30.0,Normal,1.0,464.9205,145.55551,431.13,106.72,480.05,198.495,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,118,30.0,Normal,1.0,464.7435,147.94751,431.295,108.395,480.065,198.49,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,119,30.0,Normal,1.0,463.6335,149.823,431.325,111.045,480.155,198.49,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,120,30.0,Normal,1.0,462.38248,151.48651,430.86,113.275,480.215,198.495,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,121,30.0,Normal,1.0,460.6855,152.232,430.805,115.22,480.25,198.495,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,122,30.0,Normal,1.0,459.84448,152.973,430.94,116.03,480.265,198.5,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,123,30.0,Normal,1.0,459.13147,154.07849,431.12,117.1,478.925,198.5,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,124,30.0,Normal,1.0,459.28198,155.43251,431.285,118.485,476.81,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,125,30.0,Normal,1.0,459.50748,156.8345,431.41,120.075,474.33,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,126,30.0,Normal,1.0,459.44952,157.45001,431.56,121.79,473.215,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,127,30.0,Normal,1.0,459.05402,158.314,431.33,123.56,473.265,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,128,30.0,Normal,1.0,458.191,158.9465,430.865,125.25,473.29,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,129,30.0,Normal,1.0,457.86996,160.4695,430.81,125.995,473.145,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,130,30.0,Normal,1.0,457.0875,161.21101,430.94,126.2,473.225,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,131,30.0,Normal,1.0,456.7045,161.4685,431.12,126.135,473.27,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,132,30.0,Normal,1.0,456.3,160.9695,431.285,125.97,473.29,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,133,30.0,Normal,1.0,456.54602,160.577,431.41,124.79,473.63,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,134,30.0,Normal,1.0,456.6185,160.412,431.49,123.065,473.845,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,135,30.0,Normal,1.0,456.425,160.20898,431.54,121.11,473.295,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
URFall,URFall_adl-01-cam0,person_1,136,30.0,Normal,1.0,455.9295,160.097,431.55,120.105,473.295,198.505,D:\Project\Path_prediction_clean\examples\inputs\urfall_keypoints_adl-01-cam0.xlsx
